cell_id,day,donor,cell_type,technology
fbb5791b45e0,2,27678,HSC,citeseq
54b3c7b7c913,2,27678,NeuP,citeseq
14cb39b80a9a,2,27678,NeuP,citeseq
f798a7feec5f,2,27678,EryP,citeseq
032152e7000a,2,27678,HSC,citeseq
1f58bd30a252,2,27678,EryP,citeseq
00c83bcb01d6,2,27678,HSC,citeseq
58cab80dbb25,2,27678,HSC,citeseq
e68d64995c59,2,27678,HSC,citeseq
4f662feb7957,2,27678,HSC,citeseq
5dbf42695224,2,27678,EryP,citeseq
e43b85b9e3fd,2,27678,NeuP,citeseq
66422591241f,2,27678,HSC,citeseq
fc0350b85627,2,27678,EryP,citeseq
c46fb26dec48,2,27678,MasP,citeseq
a4c2e250fd08,2,27678,HSC,citeseq
43236012306e,2,27678,EryP,citeseq
1cd762cf7ffe,2,27678,HSC,citeseq
22a178590f66,2,27678,MkP,citeseq
efa38916e04a,2,27678,NeuP,citeseq
68991d63b52d,2,27678,HSC,citeseq
f1b4b4a9018b,2,27678,EryP,citeseq
dad31f1628bc,2,27678,NeuP,citeseq
566edbb7823f,2,27678,NeuP,citeseq
3e431e44cedb,2,27678,HSC,citeseq
c07cb938af5b,2,27678,HSC,citeseq
c32fbcef4a91,2,27678,HSC,citeseq
f35a890dbcf3,2,27678,HSC,citeseq
0da444be6884,2,27678,HSC,citeseq
321a639f2f89,2,27678,EryP,citeseq
6cf58836cdce,2,27678,HSC,citeseq
45698ac63159,2,27678,MkP,citeseq
c50c342df7b8,2,27678,NeuP,citeseq
a349ab74ea14,2,27678,NeuP,citeseq
0f64d1d4e956,2,27678,EryP,citeseq
89303fd63578,2,27678,EryP,citeseq
4f180e4c4fa4,2,27678,EryP,citeseq
606fc487064b,2,27678,MasP,citeseq
145ba58a6fae,2,27678,HSC,citeseq
e43d24302efe,2,27678,MasP,citeseq
934fb50b6df4,2,27678,HSC,citeseq
bac92bb93732,2,27678,NeuP,citeseq
ec8d04e12daa,2,27678,EryP,citeseq
6274930858b9,2,27678,NeuP,citeseq
66aa9bf948a2,2,27678,HSC,citeseq
f020d4cb40fb,2,27678,HSC,citeseq
05ab1cd2daf1,2,27678,NeuP,citeseq
ff26fcd43989,2,27678,MasP,citeseq
736b38dd8ce0,2,27678,EryP,citeseq
1c811e9625cf,2,27678,HSC,citeseq
87de8575ed8b,2,27678,MkP,citeseq
6597e3c09ccd,2,27678,HSC,citeseq
41d798c44639,2,27678,HSC,citeseq
7373d27b958c,2,27678,HSC,citeseq
b3a55271754e,2,27678,HSC,citeseq
9b3fd8d27060,2,27678,MasP,citeseq
de0a5a55eedb,2,27678,NeuP,citeseq
a61a8c26e402,2,27678,HSC,citeseq
08a6aaa72bd0,2,27678,HSC,citeseq
d04cf7520790,2,27678,MkP,citeseq
2e50e899a3ef,2,27678,HSC,citeseq
efdda49432c0,2,27678,HSC,citeseq
a3ebb38e74ad,2,27678,NeuP,citeseq
8bc080368ec6,2,27678,MasP,citeseq
56916fecee62,2,27678,MasP,citeseq
a7dd8f2c622a,2,27678,EryP,citeseq
abcd58352caa,2,27678,EryP,citeseq
3dfe041eec67,2,27678,EryP,citeseq
dfe9f889fb2b,2,27678,HSC,citeseq
2dc84dacdf8f,2,27678,MkP,citeseq
36e2dd5ea2e0,2,27678,HSC,citeseq
a628e33a42b9,2,27678,HSC,citeseq
ebdf724d747e,2,27678,HSC,citeseq
ee2cf5f926ec,2,27678,MkP,citeseq
94405a59c8c3,2,27678,NeuP,citeseq
a03d3d227bc7,2,27678,HSC,citeseq
207291dbd84e,2,27678,HSC,citeseq
3fe4e075e3f0,2,27678,EryP,citeseq
d70f01883b26,2,27678,HSC,citeseq
f3fb2ad9417d,2,27678,HSC,citeseq
6e8fd313c534,2,27678,MasP,citeseq
a43341c20e0f,2,27678,HSC,citeseq
4aae3551fe9a,2,27678,EryP,citeseq
bbe889c5dd06,2,27678,NeuP,citeseq
9dcffbb068e8,2,27678,EryP,citeseq
c98a6dd7cfef,2,27678,HSC,citeseq
cb3d37da2687,2,27678,NeuP,citeseq
bc669da686c7,2,27678,EryP,citeseq
66b223b9327c,2,27678,HSC,citeseq
e79c775053a6,2,27678,EryP,citeseq
e7a069b375df,2,27678,NeuP,citeseq
5f3a31be1325,2,27678,MasP,citeseq
991924b51224,2,27678,NeuP,citeseq
f21ba63e3e1d,2,27678,HSC,citeseq
dbaf6d6687d1,2,27678,HSC,citeseq
964a04a17dc9,2,27678,HSC,citeseq
046956207d2a,2,27678,HSC,citeseq
353bb528a0fd,2,27678,HSC,citeseq
81d18aea554c,2,27678,EryP,citeseq
eb0b03e5a5b6,2,27678,HSC,citeseq
5bacb120c235,2,27678,HSC,citeseq
2e28e6556129,2,27678,HSC,citeseq
03d31255426d,2,27678,HSC,citeseq
23236c4a3566,2,27678,EryP,citeseq
7ae44f0cf716,2,27678,NeuP,citeseq
7f19332bd950,2,27678,MasP,citeseq
9ee8e40f515e,2,27678,HSC,citeseq
9378d8ecee60,2,27678,HSC,citeseq
809559b5e7ae,2,27678,NeuP,citeseq
9edbefa292f7,2,27678,NeuP,citeseq
9f3a5823ab1a,2,27678,MkP,citeseq
5e0c56fc1f38,2,27678,MasP,citeseq
e7a32417387d,2,27678,HSC,citeseq
22d0d2f6c500,2,27678,HSC,citeseq
4a54a024c714,2,27678,HSC,citeseq
95e2180fd9f5,2,27678,EryP,citeseq
2905ec5aa46b,2,27678,EryP,citeseq
3893852c6868,2,27678,MkP,citeseq
4e31ce2fcc62,2,27678,MkP,citeseq
14c865b5bdb6,2,27678,EryP,citeseq
4a7e9727bb35,2,27678,HSC,citeseq
11ac23ce16eb,2,27678,EryP,citeseq
cb0cc714792c,2,27678,MasP,citeseq
992f80a11476,2,27678,MkP,citeseq
6e55f508c3ee,2,27678,HSC,citeseq
fcaf2cd0d486,2,27678,EryP,citeseq
d663ce4e33a5,2,27678,HSC,citeseq
d21fdb9f8978,2,27678,HSC,citeseq
2f960825c259,2,27678,NeuP,citeseq
3e146ca4352e,2,27678,HSC,citeseq
2726f7f9d5c9,2,27678,MasP,citeseq
9c40a0d657b2,2,27678,NeuP,citeseq
121533fe2ac6,2,27678,MasP,citeseq
e8cddd1d5f3a,2,27678,HSC,citeseq
dd8af5de74db,2,27678,HSC,citeseq
ca0b9d083ee0,2,27678,HSC,citeseq
258e3976e5fb,2,27678,MkP,citeseq
7b4be0116261,2,27678,EryP,citeseq
56663fe06826,2,27678,HSC,citeseq
ceab661c5dbc,2,27678,HSC,citeseq
240e3c9b939f,2,27678,NeuP,citeseq
d270d833a174,2,27678,EryP,citeseq
13c1a4fcccf4,2,27678,EryP,citeseq
d5f0df393ef5,2,27678,NeuP,citeseq
8cf066c68abf,2,27678,HSC,citeseq
fcc325d400ea,2,27678,EryP,citeseq
d0f362f03c6d,2,27678,EryP,citeseq
48ab3194df30,2,27678,EryP,citeseq
cf2b83eeced4,2,27678,EryP,citeseq
d318558ca316,2,27678,EryP,citeseq
fa7622664110,2,27678,HSC,citeseq
91ce62c621b9,2,27678,EryP,citeseq
c13e220dd3e9,2,27678,HSC,citeseq
68f8aba4020f,2,27678,NeuP,citeseq
360f49c77fc0,2,27678,HSC,citeseq
56134f4346ed,2,27678,HSC,citeseq
84225bf3293d,2,27678,HSC,citeseq
0ee8544beef5,2,27678,MasP,citeseq
c339f6325af2,2,27678,HSC,citeseq
86705850b386,2,27678,EryP,citeseq
d9c357f0bf3e,2,27678,HSC,citeseq
e36b6da6ab6e,2,27678,EryP,citeseq
a7745c9b9210,2,27678,EryP,citeseq
91f53f69262c,2,27678,HSC,citeseq
e7b5cdd51a8c,2,27678,HSC,citeseq
b2034b6861a7,2,27678,MkP,citeseq
0f6b450d7c5f,2,27678,NeuP,citeseq
d8e1a6732280,2,27678,EryP,citeseq
48f6a4a0dad0,2,27678,HSC,citeseq
9235d15134e9,2,27678,EryP,citeseq
a769443f38ae,2,27678,HSC,citeseq
00f64461583e,2,27678,EryP,citeseq
5408938bef14,2,27678,HSC,citeseq
8172de7f4688,2,27678,MasP,citeseq
3ea10c83c35f,2,27678,EryP,citeseq
47aeada1bb82,2,27678,HSC,citeseq
407c346b1fc6,2,27678,HSC,citeseq
d8854dcffa5a,2,27678,HSC,citeseq
d0927934b16d,2,27678,HSC,citeseq
2c514496d0b6,2,27678,HSC,citeseq
a0769bda9d4b,2,27678,MkP,citeseq
2907dd5eabe1,2,27678,HSC,citeseq
d6817f11698f,2,27678,EryP,citeseq
ec428ac8503b,2,27678,MasP,citeseq
c1b8d3f1de7b,2,27678,MkP,citeseq
3033cba4757d,2,27678,MasP,citeseq
42637bbf2cbf,2,27678,EryP,citeseq
3d94244b1d13,2,27678,EryP,citeseq
08e48aa199ae,2,27678,MkP,citeseq
0baf3b7f711c,2,27678,NeuP,citeseq
9818d0264666,2,27678,EryP,citeseq
4740a82e5136,2,27678,MasP,citeseq
39f738914d70,2,27678,MkP,citeseq
872948c02646,2,27678,HSC,citeseq
0d901935d6ac,2,27678,NeuP,citeseq
d3338882d438,2,27678,MasP,citeseq
e4027d106f62,2,27678,EryP,citeseq
91eabbbb5ba4,2,27678,HSC,citeseq
15649e54475d,2,27678,HSC,citeseq
8da326c1126c,2,27678,BP,citeseq
7cff02002d65,2,27678,MasP,citeseq
99ed864e6467,2,27678,NeuP,citeseq
73b2b168dcd5,2,27678,EryP,citeseq
67911bd0e34b,2,27678,HSC,citeseq
aa07e7e13035,2,27678,HSC,citeseq
8ffcf9fc9176,2,27678,EryP,citeseq
de41e3ccf840,2,27678,HSC,citeseq
d0b1e00293e1,2,27678,NeuP,citeseq
b900fc864106,2,27678,HSC,citeseq
d8db6a144570,2,27678,EryP,citeseq
657ef79f8803,2,27678,HSC,citeseq
b322b892d08a,2,27678,HSC,citeseq
9d6dd9b92bbd,2,27678,EryP,citeseq
7ce1e94196c8,2,27678,HSC,citeseq
b6b59a6c7c27,2,27678,MkP,citeseq
43b567cbd7c2,2,27678,MasP,citeseq
01d7e08f797e,2,27678,HSC,citeseq
dcc98b760399,2,27678,NeuP,citeseq
62a96552fb51,2,27678,NeuP,citeseq
d8e8fe286414,2,27678,HSC,citeseq
d4b468b9deb5,2,27678,EryP,citeseq
3087a73a3d70,2,27678,EryP,citeseq
2b5f94dc35c0,2,27678,MkP,citeseq
a92ca5a3d9d3,2,27678,NeuP,citeseq
4372f2f58e9d,2,27678,HSC,citeseq
a503eaf92212,2,27678,HSC,citeseq
cca4d41bae8f,2,27678,HSC,citeseq
30a41c631ddf,2,27678,EryP,citeseq
c0d0d2bfcf40,2,27678,HSC,citeseq
94e7d394179b,2,27678,HSC,citeseq
84406062f8b7,2,27678,HSC,citeseq
9ac3a14e8ed8,2,27678,HSC,citeseq
f3af5448c24a,2,27678,HSC,citeseq
edcdf273728f,2,27678,MkP,citeseq
c78068f5550e,2,27678,HSC,citeseq
76f6f80fc04c,2,27678,EryP,citeseq
f7009ccf8e93,2,27678,NeuP,citeseq
39cb5422d6b4,2,27678,NeuP,citeseq
66f6aa2e1fec,2,27678,HSC,citeseq
182fa2390ac9,2,27678,EryP,citeseq
08310b290645,2,27678,HSC,citeseq
e1bd97aade2d,2,27678,HSC,citeseq
c024a49e6df5,2,27678,HSC,citeseq
d131251f587c,2,27678,HSC,citeseq
bbf057e3c88d,2,27678,HSC,citeseq
46dcf0000cf4,2,27678,MasP,citeseq
c7933c4668f4,2,27678,HSC,citeseq
b2e269c66f09,2,27678,EryP,citeseq
f8e673ac089c,2,27678,EryP,citeseq
f0c0b52b8a51,2,27678,HSC,citeseq
05a7ac64ed11,2,27678,MasP,citeseq
585a1188cf4b,2,27678,HSC,citeseq
098a4ebd40a0,2,27678,HSC,citeseq
bbc5d419a2cd,2,27678,MasP,citeseq
87d9ef4be6d7,2,27678,HSC,citeseq
d62d200f85d1,2,27678,HSC,citeseq
7ce40c08038c,2,27678,EryP,citeseq
87174161c766,2,27678,MasP,citeseq
dae6ce900452,2,27678,MasP,citeseq
180327b0bc6b,2,27678,HSC,citeseq
ce536d20a5a7,2,27678,HSC,citeseq
0a78a47313c7,2,27678,HSC,citeseq
d75c1a06a945,2,27678,MasP,citeseq
4b0adfa2e4b7,2,27678,HSC,citeseq
8b2086d7f1b3,2,27678,MasP,citeseq
205b808ba951,2,27678,HSC,citeseq
a75a91b528c0,2,27678,HSC,citeseq
fd091ec67c08,2,27678,MasP,citeseq
0c0b41e5bd08,2,27678,EryP,citeseq
fa3a70227533,2,27678,NeuP,citeseq
356abf5161b2,2,27678,HSC,citeseq
d51873327b68,2,27678,NeuP,citeseq
91055f082e69,2,27678,HSC,citeseq
050ef3e18f3c,2,27678,HSC,citeseq
32a824a2362b,2,27678,MasP,citeseq
2ba3ceb20e63,2,27678,HSC,citeseq
803792ab6b0e,2,27678,HSC,citeseq
4749ed9d438e,2,27678,MasP,citeseq
4535ade587c8,2,27678,MkP,citeseq
47a03b049147,2,27678,NeuP,citeseq
34fd08b38e15,2,27678,NeuP,citeseq
36bd6a198af9,2,27678,EryP,citeseq
cab678119d37,2,27678,HSC,citeseq
0493a57047f0,2,27678,EryP,citeseq
f494b0788a4a,2,27678,EryP,citeseq
689486c0065d,2,27678,MasP,citeseq
e224b34aec92,2,27678,EryP,citeseq
f2e4d9619918,2,27678,EryP,citeseq
1f3aa5668595,2,27678,MasP,citeseq
cd616db4064d,2,27678,HSC,citeseq
4a5f2dc3a484,2,27678,MasP,citeseq
3c7edf81ebdb,2,27678,EryP,citeseq
ad72dda1c3d5,2,27678,HSC,citeseq
df18268b1098,2,27678,HSC,citeseq
45dcb7a2db6e,2,27678,HSC,citeseq
d20b57e77b3d,2,27678,HSC,citeseq
118a67948730,2,27678,EryP,citeseq
b29539083f60,2,27678,EryP,citeseq
b9c583be9f42,2,27678,HSC,citeseq
dde064263702,2,27678,MkP,citeseq
ef057636ebdc,2,27678,HSC,citeseq
58d536942e30,2,27678,EryP,citeseq
5a7926e881fb,2,27678,NeuP,citeseq
77cd5310a903,2,27678,EryP,citeseq
19623b0709c1,2,27678,HSC,citeseq
648640d61bcc,2,27678,NeuP,citeseq
6774b5ff0ddb,2,27678,NeuP,citeseq
f195bc2e85a6,2,27678,EryP,citeseq
06742902f058,2,27678,EryP,citeseq
ec464ef33b04,2,27678,HSC,citeseq
5ad279d4d941,2,27678,HSC,citeseq
79ec4dea37bb,2,27678,NeuP,citeseq
a62ba822a373,2,27678,EryP,citeseq
469a7a30de76,2,27678,MasP,citeseq
a0db5d2f0cb1,2,27678,MasP,citeseq
38fcf9b49f8c,2,27678,NeuP,citeseq
f631037d500f,2,27678,HSC,citeseq
cf7078e6dcf3,2,27678,MasP,citeseq
1250e9b189ad,2,27678,HSC,citeseq
3872868fc8d1,2,27678,EryP,citeseq
10fd0afd4d0c,2,27678,MkP,citeseq
7858ad6852e4,2,27678,NeuP,citeseq
23b7aa5f92a9,2,27678,EryP,citeseq
c3b56857bcc1,2,27678,HSC,citeseq
eed655395905,2,27678,HSC,citeseq
331896e92abf,2,27678,EryP,citeseq
e72302900292,2,27678,EryP,citeseq
5e018a63ae0a,2,27678,HSC,citeseq
35461416cc18,2,27678,EryP,citeseq
703119168e99,2,27678,HSC,citeseq
94ee3c3f04ea,2,27678,HSC,citeseq
9ff727864977,2,27678,NeuP,citeseq
87ea37dd1602,2,27678,MasP,citeseq
b7a061cddaa3,2,27678,NeuP,citeseq
c954f9d4dc1b,2,27678,NeuP,citeseq
92ce08598df2,2,27678,HSC,citeseq
4fbb1f752cf6,2,27678,HSC,citeseq
3eccb910718d,2,27678,HSC,citeseq
65852c5f0281,2,27678,EryP,citeseq
07641d9be4d2,2,27678,EryP,citeseq
e4e095233b61,2,27678,HSC,citeseq
f3de5226448a,2,27678,HSC,citeseq
b254a086e489,2,27678,NeuP,citeseq
b123b5f62c77,2,27678,MkP,citeseq
27fa377de520,2,27678,EryP,citeseq
3ce12b5c8370,2,27678,EryP,citeseq
506a41a04197,2,27678,EryP,citeseq
f10149997fa5,2,27678,EryP,citeseq
32fadfedb0b5,2,27678,MasP,citeseq
c25fe8086e32,2,27678,NeuP,citeseq
7be97aef03f0,2,27678,EryP,citeseq
9f3ceec937da,2,27678,HSC,citeseq
16d29ee9066e,2,27678,NeuP,citeseq
a2b36550a894,2,27678,HSC,citeseq
b1d98829eeb4,2,27678,MasP,citeseq
7fe9e520bbf2,2,27678,MasP,citeseq
70f916d54a82,2,27678,HSC,citeseq
8b77e5cfd3d1,2,27678,NeuP,citeseq
f218092d230a,2,27678,HSC,citeseq
81e28445f839,2,27678,HSC,citeseq
01c352ebe960,2,27678,HSC,citeseq
bac1c9c62192,2,27678,NeuP,citeseq
869091389912,2,27678,HSC,citeseq
bebca7c16829,2,27678,NeuP,citeseq
0356859e1230,2,27678,EryP,citeseq
8e6dc140f449,2,27678,HSC,citeseq
aaa410942f1c,2,27678,HSC,citeseq
bc23535ffbe1,2,27678,MasP,citeseq
9477b296c072,2,27678,HSC,citeseq
d9cef1b1584b,2,27678,HSC,citeseq
0c3788e4f207,2,27678,EryP,citeseq
089aa5237ce6,2,27678,EryP,citeseq
9cbacecc1949,2,27678,MasP,citeseq
02f89e79006d,2,27678,HSC,citeseq
1d3a87dc9638,2,27678,HSC,citeseq
ef0511d46d47,2,27678,HSC,citeseq
9a1d2285c870,2,27678,EryP,citeseq
e90d0696f74c,2,27678,EryP,citeseq
fd52cab63449,2,27678,HSC,citeseq
0cc4c457673b,2,27678,NeuP,citeseq
035d4adf30b0,2,27678,HSC,citeseq
f05d1e61baef,2,27678,HSC,citeseq
21fc7d31ae04,2,27678,EryP,citeseq
a4d00b6232f3,2,27678,EryP,citeseq
f110c8498bfb,2,27678,HSC,citeseq
04cd31eefa07,2,27678,MkP,citeseq
e3dfd2c0e828,2,27678,HSC,citeseq
b382c8c7a98c,2,27678,MasP,citeseq
49179ba0fdcd,2,27678,MasP,citeseq
b2c10e4968a7,2,27678,HSC,citeseq
ec3e7c9cabfc,2,27678,HSC,citeseq
ed61dcf729ef,2,27678,HSC,citeseq
7de219b40f35,2,27678,HSC,citeseq
60b06ba78dc5,2,27678,MkP,citeseq
b80812cf5ae3,2,27678,HSC,citeseq
f98b47e0e308,2,27678,NeuP,citeseq
b98cfa58da81,2,27678,EryP,citeseq
5fb6176672c1,2,27678,HSC,citeseq
696f7a5064d3,2,27678,EryP,citeseq
dfa8080e3d22,2,27678,HSC,citeseq
ddb279890ae0,2,27678,HSC,citeseq
90b51dc1b787,2,27678,NeuP,citeseq
a6a2646a75bd,2,27678,HSC,citeseq
0c1f59f80d76,2,27678,NeuP,citeseq
a60fedf35801,2,27678,MasP,citeseq
0cd33c6f89ff,2,27678,HSC,citeseq
64d07035adc2,2,27678,EryP,citeseq
27736b30dde2,2,27678,MasP,citeseq
562f90e8b938,2,27678,HSC,citeseq
36cd6b7b38c3,2,27678,EryP,citeseq
dc17c0b87ea7,2,27678,HSC,citeseq
e10e7d4a411b,2,27678,EryP,citeseq
01391c1c930e,2,27678,NeuP,citeseq
1320d8c41808,2,27678,MasP,citeseq
346575eb29b5,2,27678,EryP,citeseq
64bb2579fa1c,2,27678,EryP,citeseq
121314276473,2,27678,EryP,citeseq
70505d9da622,2,27678,HSC,citeseq
0e39b63fd134,2,27678,MkP,citeseq
5f22dd7c1bef,2,27678,EryP,citeseq
35dc7fe2be48,2,27678,MasP,citeseq
2ca3b16c3c94,2,27678,EryP,citeseq
57b60ef810f1,2,27678,MkP,citeseq
09a21115a836,2,27678,EryP,citeseq
1552246fe23e,2,27678,NeuP,citeseq
5612179f0201,2,27678,EryP,citeseq
1ecca3ed7063,2,27678,HSC,citeseq
3854d90cd1d9,2,27678,EryP,citeseq
2c4d72a6b31f,2,27678,EryP,citeseq
ef46d7523026,2,27678,EryP,citeseq
5fbcb9e57372,2,27678,HSC,citeseq
35116e392985,2,27678,EryP,citeseq
2c453f082543,2,27678,HSC,citeseq
1ae994553a83,2,27678,HSC,citeseq
a5ce4722e218,2,27678,NeuP,citeseq
7bf76133b08d,2,27678,EryP,citeseq
dc27f8fdc498,2,27678,MkP,citeseq
21ec017b0618,2,27678,NeuP,citeseq
f7d0bbe18d77,2,27678,HSC,citeseq
263150247ba5,2,27678,HSC,citeseq
11dbd46c8492,2,27678,HSC,citeseq
7ea87f8e6f11,2,27678,HSC,citeseq
98586c2b700e,2,27678,HSC,citeseq
df2735ad3396,2,27678,EryP,citeseq
4db71a0a7752,2,27678,MkP,citeseq
946bec2709d5,2,27678,NeuP,citeseq
17b0b4a65031,2,27678,HSC,citeseq
5d053b3c18c2,2,27678,HSC,citeseq
9faae2ebc855,2,27678,EryP,citeseq
b550e05c6b0f,2,27678,MasP,citeseq
170c3593e049,2,27678,HSC,citeseq
46b8d198f681,2,27678,NeuP,citeseq
547d6092daee,2,27678,HSC,citeseq
40a199068ddc,2,27678,NeuP,citeseq
22b315a02c19,2,27678,HSC,citeseq
b624f7a6126d,2,27678,NeuP,citeseq
21b3b0b8ee03,2,27678,MkP,citeseq
ab36a950ce8e,2,27678,HSC,citeseq
177c9222e976,2,27678,MasP,citeseq
2a82b24b7496,2,27678,MasP,citeseq
188a78dc9400,2,27678,HSC,citeseq
89d50c141929,2,27678,EryP,citeseq
e9278fb16d12,2,27678,HSC,citeseq
e7dbceef97c5,2,27678,MkP,citeseq
0834767679d5,2,27678,MasP,citeseq
851ec16ccfa2,2,27678,NeuP,citeseq
483aea65ebc8,2,27678,HSC,citeseq
8ee38a170070,2,27678,EryP,citeseq
582c150faca6,2,27678,HSC,citeseq
5a1c0086e7bb,2,27678,HSC,citeseq
b6749f6b464d,2,27678,EryP,citeseq
67f60eedf45a,2,27678,EryP,citeseq
37bc249c7112,2,27678,MkP,citeseq
1e0d953ae51f,2,27678,NeuP,citeseq
be46b3baa777,2,27678,EryP,citeseq
203fc1d1f360,2,27678,NeuP,citeseq
6d6afb654f31,2,27678,HSC,citeseq
4874fa0e79b6,2,27678,EryP,citeseq
7aff6bc4118b,2,27678,NeuP,citeseq
7195a859ed30,2,27678,HSC,citeseq
8977e5086d25,2,27678,EryP,citeseq
d40cb1db3a05,2,27678,HSC,citeseq
b1139bad936b,2,27678,HSC,citeseq
6d1f17d456cf,2,27678,EryP,citeseq
60798614cf44,2,27678,HSC,citeseq
4de1b4212fa5,2,27678,HSC,citeseq
bd9a53c0b5a1,2,27678,EryP,citeseq
67df368fafb5,2,27678,EryP,citeseq
b11b40d766ff,2,27678,MasP,citeseq
5adb8b52585b,2,27678,MkP,citeseq
4e0bf8c807ce,2,27678,HSC,citeseq
4ea218067e4f,2,27678,HSC,citeseq
a0302e3744bf,2,27678,HSC,citeseq
56905a0375ff,2,27678,HSC,citeseq
7db75d549374,2,27678,HSC,citeseq
ad86c70f8be6,2,27678,HSC,citeseq
46f8433713dd,2,27678,NeuP,citeseq
9da752cc3e4e,2,27678,NeuP,citeseq
d5de038893ca,2,27678,MasP,citeseq
d74f4742953a,2,27678,MkP,citeseq
